Date,Value
20231215,22.59249
20231214,22.67041
20231213,22.44178
20231212,22.50949
20231211,22.46307
20231208,22.16303
20231207,22.09281
20231206,21.99763
20231205,21.78237
20231204,21.83778
20231201,21.87369
20231130,21.71734
20231129,21.633
20231128,21.57967
20231127,21.78685
20231124,21.71176
20231123,21.7311
20231122,21.68618
20231121,21.64492
20231120,21.70041
20231117,21.5848
20231116,21.58523
20231115,21.59598
20231114,21.2699
20231113,21.16252
20231110,21.17001
20231109,21.08469
20231108,20.82873
20231107,20.86552
20231106,21.13048
20231103,21.16427
20231102,20.90701
20231101,20.65585
20231031,20.4563
20231030,20.39484
20231027,20.58956
20231026,20.42047
20231025,20.513
20231024,20.54954
20231023,20.43552
20231020,20.54538
20231019,20.72865
20231018,21.05825
20231017,21.0228
20231016,21.0841
20231013,21.2652
20231012,21.47948
20231011,21.24432
20231010,21.21293
20231009,21.05632
20231006,21.01941
20231005,21.00353
20231004,20.83217
20231003,21.06876
20231002,21.4444
20230929,21.38801
20230928,21.15698
20230927,21.18502
20230926,21.24639
20230925,21.44522
20230922,21.46693
20230921,21.73041
20230920,21.83143
20230919,21.72333
20230918,22.05527
20230915,22.11666
20230914,21.64296
20230913,21.64714
20230912,21.82327
20230911,21.7992
20230908,21.61161
20230907,21.42892
20230906,21.56139
20230905,21.65385
20230904,21.94773
20230901,21.86162
20230831,22.02506
20230830,22.0733
20230829,21.94417
20230828,21.81276
20230825,21.55078
20230824,21.85842
20230823,21.7064
20230822,21.56881
20230821,21.40494
20230818,21.37813
20230817,21.55321
20230816,21.62739
20230815,21.97258
20230814,21.8663
20230811,22.03678
20230810,21.96213
20230809,21.91683
20230808,21.69997
20230807,21.73601
20230804,21.70428
20230803,21.63371
20230802,21.8249
20230801,22.34009
20230731,22.30304
20230728,22.25375
20230727,22.0051
20230726,21.99785
20230725,22.27806
20230724,22.16762
20230721,22.09735
20230720,21.81466
20230719,22.03841
20230718,21.74885
20230717,21.82866
20230714,21.96911
20230713,21.92533
20230712,21.58899
20230711,21.37426
20230710,21.11613
20230707,21.18576
20230706,21.58553
20230705,21.8258
20230704,21.99191
20230703,22.0421
20230630,21.79655
20230629,21.64386
20230628,21.53163
20230627,21.44063
20230626,21.3095
20230623,21.29958
20230622,21.40677
20230621,21.62213
20230620,21.68771
20230619,21.85822
20230616,21.75732
20230615,21.75786
20230614,21.73771
20230613,21.7142
20230612,21.57307
20230609,21.5374
20230608,21.4126
20230607,21.43997
20230606,21.43565
20230605,21.77088
20230602,21.45492
20230601,21.30704
20230531,21.3186
20230530,21.76952
20230529,21.96615
20230526,21.65655
20230525,21.64859
20230524,21.8047
20230523,22.27759
20230522,22.28755
20230519,22.27091
20230518,22.20643
20230517,21.99975
20230516,22.02557
20230515,22.14804
20230512,22.05768
20230511,21.92629
20230510,22.00777
20230509,22.06362
20230508,22.08012
20230505,21.93945
20230504,21.94172
20230503,22.05038
20230502,22.19563
20230428,22.26791
20230427,22.10173
20230426,22.21708
20230425,22.28861
20230424,22.36266
20230421,22.35774
20230420,22.30629
20230419,22.251
20230418,22.16508
20230417,22.26533
20230414,22.18529
20230413,22.05948
20230412,21.8778
20230411,21.85522
20230406,21.67597
20230405,21.71764
20230404,21.77187
20230403,21.69299
20230331,21.50625
20230330,21.38423
20230329,21.12133
20230328,21.11377
20230327,21.01036
20230324,21.04514
20230323,21.05357
20230322,20.99457
20230321,20.92535
20230320,20.34962
20230317,20.87472
20230316,20.60537
20230315,21.02628
20230314,20.72801
20230313,21.24395
20230310,21.21206
20230309,21.55619
20230308,21.50061
20230307,21.66943
20230306,21.77936
20230303,21.58794
20230302,21.16205
20230301,21.48717
20230228,21.43253
20230227,21.42296
20230224,21.74639
20230223,21.61817
20230222,21.51807
20230221,21.65041
20230220,21.79435
20230217,21.62442
20230216,21.7502
20230215,21.35865
20230214,21.39196
20230213,21.18276
20230210,21.25716
20230209,21.32067
20230208,21.30513
20230207,21.2203
20230206,21.30628
20230203,21.19226
20230202,21.09286
20230201,21.00411
20230131,20.98921
20230130,20.94828
20230127,21.06204
20230126,21.06965
20230125,20.93798
20230124,20.94472
20230123,20.8523
20230120,20.8175
20230119,20.99141
20230118,21.08977
20230117,20.95945
20230116,20.97904
20230113,20.8185
