Date,Value
20231109,75.46918
20231108,74.78653
20231107,74.81822
20231106,75.41006
20231103,75.25782
20231102,74.3411
20231101,73.51624
20231031,72.89613
20231030,72.96887
20231027,72.97362
20231026,72.5997
20231025,73.53497
20231024,73.12482
20231023,73.29959
20231020,73.46815
20231019,74.47462
20231018,75.45706
20231017,75.37027
20231016,75.48596
20231013,76.30575
20231012,77.06542
20231011,76.1407
20231010,75.59823
20231009,74.88327
20231006,74.78936
20231005,74.88791
20231004,74.29753
20231003,75.38795
20231002,76.5798
20230929,76.4322
20230928,75.68489
20230927,75.74284
20230926,76.19086
20230925,77.17426
20230922,76.90099
20230921,77.85908
20230920,78.19612
20230919,78.04359
20230918,78.97155
20230915,79.45677
20230914,77.94375
20230913,78.00391
20230912,78.85563
20230911,78.91066
20230908,78.7233
20230907,78.06741
20230906,78.39913
20230905,78.56284
20230904,79.51494
20230901,79.75244
20230831,79.83666
20230830,79.85543
20230829,79.37264
20230828,78.85229
20230825,77.90671
20230824,79.29424
20230823,78.64192
20230822,78.33739
20230821,77.70738
20230818,77.90027
20230817,78.55659
20230816,78.599
20230815,79.38198
20230814,78.84775
20230811,79.31505
20230810,79.36222
20230809,79.26659
20230808,78.94023
20230807,79.06482
20230804,79.34023
20230803,79.2296
20230802,79.89173
20230801,81.90281
20230731,82.08339
20230728,81.61137
20230727,80.56221
20230726,80.74977
20230725,80.60005
20230724,80.46541
20230721,80.37803
20230720,79.96952
20230719,80.70099
20230718,79.88393
20230717,79.8213
20230714,80.44755
20230713,79.95871
20230712,79.20312
20230711,78.49532
20230710,77.91866
20230707,77.49012
20230706,79.07239
20230705,79.56365
20230704,80.40635
20230703,80.85099
20230630,79.78044
20230629,79.71503
20230628,79.44754
20230627,79.1245
20230626,79.20525
20230623,79.22716
20230622,79.17282
20230621,80.32576
20230620,80.33359
20230619,81.11077
20230616,81.36314
20230615,81.12832
20230614,80.92635
20230613,80.84155
20230612,80.09718
20230609,79.8776
20230608,79.59174
20230607,79.90297
20230606,79.53037
20230605,80.31133
20230602,79.57892
20230601,78.63391
20230531,78.77902
20230530,79.72422
20230529,80.31236
20230526,79.3208
20230525,79.5114
20230524,80.11366
20230523,81.08425
20230522,81.25197
20230519,81.31804
20230518,80.41843
20230517,79.40985
20230516,79.37695
20230515,79.66833
20230512,79.50416
20230511,79.55302
20230510,79.62122
20230509,79.43008
20230508,79.43402
20230505,78.70819
20230504,78.35179
20230503,78.23669
20230502,79.03228
20230428,78.62868
20230427,77.83077
20230426,78.23125
20230425,78.46955
20230424,78.4677
20230421,78.04454
20230420,78.52651
20230419,78.3805
20230418,78.4144
20230417,78.32299
20230414,78.00191
20230413,77.52112
20230412,77.34927
20230411,77.37649
20230406,76.56568
20230405,76.89003
20230404,77.10217
20230403,77.10283
20230331,76.75386
20230330,75.99217
20230329,75.14738
20230328,75.1379
20230327,74.46082
20230324,74.39478
20230323,74.68011
20230322,74.73769
20230321,74.25769
20230320,72.47571
20230317,74.166
20230316,73.74857
20230315,74.81667
20230314,74.10763
20230313,76.25008
20230310,76.00271
20230309,77.16196
20230308,76.78965
20230307,77.25429
20230306,77.13131
20230303,76.38076
20230302,75.17098
20230301,76.22855
20230228,75.65716
20230227,75.83744
20230224,76.65619
20230223,76.33964
20230222,75.86885
20230221,76.32645
20230220,76.61282
20230217,75.78603
20230216,77.04844
20230215,76.04892
20230214,76.09385
20230213,75.53952
20230210,76.19226
20230209,76.71334
20230208,76.25014
20230207,75.72455
20230206,75.68514
20230203,75.8125
20230202,75.23183
20230201,74.4187
20230131,74.27718
20230130,74.14897
20230127,74.4475
20230126,74.67296
20230125,74.34884
20230124,74.49437
20230123,74.1092
20230120,73.73676
20230119,74.44651
20230118,74.8537
20230117,74.51783
20230116,74.50415
20230113,74.338
20230112,73.96344
20230111,73.21241
20230110,72.8257
20230109,72.44757
20230106,71.51536
20230105,71.46105
20230104,70.47924
20230103,69.80369
20230102,69.12434
20221230,69.2586
20221229,68.62095
20221228,69.29757
20221227,69.39461
20221223,68.82247
20221222,69.71862
20221221,68.95622
20221220,68.45711
20221219,68.90706
20221216,69.05385
20221215,70.96694
20221214,71.54408
20221213,71.08225
20221212,70.92791
20221209,70.98276
20221208,70.81542
20221207,71.02121
20221206,71.59861
20221205,71.92719
20221202,71.89098
20221201,72.35118
20221130,71.70968
20221129,71.5163
20221128,71.77441
20221125,72.08166
20221124,71.70026
20221123,71.68277
20221122,71.18637
20221121,71.47092
20221118,71.028
20221117,71.09504
20221116,71.15462
20221115,71.21376
20221114,70.905
20221111,70.25731
20221110,67.47269
20221109,67.78928
20221108,67.12474
20221107,66.65509
20221104,65.73774
20221103,65.32276
20221102,66.57478
20221101,66.38675
20221031,66.00201
20221028,65.03398
20221027,65.36713
20221026,64.9423
20221025,64.43381
20221024,64.01839
20221021,62.82326
20221020,63.10499
20221019,63.70047
20221018,63.61922
20221017,62.08416
20221014,62.55208
20221013,60.44485
20221012,60.97306
20221011,60.71643
20221010,60.81099
20221007,61.94447
20221006,62.77335
20221005,62.7989
20221004,61.49099
20221003,59.51615
20220930,60.01037
20220929,60.46911
20220928,59.94219
20220927,61.53567
20220926,61.09228
20220923,62.52674
20220922,62.58974
20220921,62.77007
20220920,64.1786
20220919,63.29419
20220916,63.8775
20220915,64.93662
20220914,65.45473
20220913,66.97843
20220912,65.65701
20220909,64.36789
20220908,64.59964
20220907,63.5939
20220906,63.83936
20220905,63.87704
20220902,63.51928
20220901,63.31021
20220831,64.76316
20220830,64.33442
20220829,63.86741
20220826,66.27217
20220825,66.30537
20220824,65.25844
20220823,65.35424
20220822,66.81625
20220819,67.47778
20220818,67.85614
20220817,69.15033
20220816,68.82921
20220815,68.75195
20220812,67.99863
20220811,68.25145
20220810,66.87175
20220809,67.89874
20220808,67.83084
20220805,67.59912
20220804,67.6012
20220803,66.38908
20220802,66.42412
20220801,66.74831
20220729,66.2302
20220728,65.47595
20220727,65.26481
20220726,65.44559
20220725,65.51747
20220722,65.43387
20220721,65.77657
20220720,66.18083
20220719,63.77907
20220718,63.96356
20220715,62.05734
20220714,63.09444
20220713,63.36347
20220712,63.18129
20220711,63.40214
20220708,63.61944
20220707,63.27586
20220706,62.36992
20220705,63.7404
20220704,64.06622
20220701,62.63123
20220630,63.5257
20220629,65.05404
20220628,65.85618
20220627,65.55873
20220624,64.16518
20220623,64.75812
20220622,64.59261
20220621,66.00813
20220620,65.44315
20220617,64.9385
20220616,66.59585
20220615,66.7276
20220614,67.04127
20220613,67.00882
20220610,69.77382
20220609,71.10379
20220608,72.32048
20220607,72.26147
20220606,72.37124
20220603,72.48476
20220602,71.60776
20220601,71.95395
20220531,72.19965
20220530,72.42324
20220527,71.08626
20220526,69.703
20220525,69.75672
20220524,69.79136
20220523,70.40006
20220520,69.2804
20220519,68.6252
20220518,70.41581
20220517,69.86799
20220516,69.50783
20220513,68.83714
20220512,67.28587
20220511,67.59282
20220510,67.34027
20220509,67.78002
20220506,68.74488
20220505,71.05263
20220504,69.81938
20220503,69.5799
20220502,69.69947
20220429,70.12315
20220428,69.11467
20220427,68.45309
20220426,70.14893
20220425,69.18851
20220422,71.31133
20220421,71.65913
20220420,70.48456
20220419,70.07093
20220414,70.2057
20220413,69.95785
20220412,69.49898
20220411,70.59701
20220408,71.23051
20220407,70.85803
20220406,71.86065
20220405,72.3009
20220404,72.22485
20220401,71.87351
20220331,72.9303
20220330,73.18952
20220329,72.66695
20220328,71.51642
20220325,71.22781
20220324,71.02543
20220323,72.08063
20220322,71.18031
20220321,71.20888
20220318,71.08117
20220317,71.63061
20220316,70.44505
20220315,68.15288
20220314,68.37533
20220311,66.59001
20220310,68.33686
20220309,65.28273
20220308,62.54654
20220307,62.31387
20220304,66.6879
20220303,69.25083
20220302,68.56046
20220301,71.44269
20220228,70.81656
20220225,70.72005
20220224,69.45462
