Date,Value
20231109,354.19075
20231108,354.06624
20231107,353.27776
20231106,353.80741
20231103,352.37766
20231102,347.21968
20231101,342.97482
20231031,342.08504
20231030,337.33148
20231027,339.52984
20231026,341.61876
20231025,343.89155
20231024,343.05537
20231023,342.39605
20231020,346.60546
20231019,350.11549
20231018,352.78624
20231017,351.49555
20231016,351.45834
20231013,350.77913
20231012,352.29823
20231011,352.40514
20231010,351.30861
20231009,347.23606
20231006,344.60532
20231005,344.87228
20231004,344.53732
20231003,347.16047
20231002,348.93157
20230929,353.73784
20230928,350.29418
20230927,352.351
20230926,354.58403
20230925,355.40618
20230922,357.53634
20230921,359.8571
20230920,362.76578
20230919,362.36859
20230918,363.15177
20230915,365.82961
20230914,363.94088
20230913,363.36897
20230912,363.23287
20230911,363.18796
20230908,361.12573
20230907,359.34274
20230906,361.7086
20230905,363.76669
20230901,364.47336
20230831,365.17896
20230830,364.17617
20230829,360.50836
20230828,359.21675
20230825,357.22952
20230824,359.91267
20230823,358.49832
20230822,360.48058
20230821,360.51003
20230818,358.45244
20230817,362.9017
20230816,364.15335
20230815,366.96276
20230814,367.89688
20230811,365.83735
20230810,366.72392
20230809,368.05585
20230808,368.64269
20230807,365.98574
20230804,367.44046
20230803,366.70423
20230802,370.79667
20230801,370.78267
20230731,369.90021
20230728,369.29791
20230727,370.13025
20230726,368.28203
20230725,369.43629
20230724,367.08173
20230721,367.16922
20230720,365.63543
20230719,364.94861
20230718,360.47888
20230717,359.10663
20230714,358.68935
20230713,358.91082
20230712,358.37628
20230711,354.49757
20230710,350.4915
20230707,351.50663
20230706,354.62499
20230705,356.06734
20230703,356.68386
20230630,355.29188
20230629,350.63441
20230628,351.26368
20230627,349.43776
20230626,349.00234
20230623,349.73627
20230622,350.75797
20230621,351.33735
20230620,353.92604
20230616,356.2312
20230615,350.52429
20230614,351.89697
20230613,352.93708
20230612,351.17536
20230609,350.96367
20230608,349.28653
20230607,347.9574
20230606,347.45584
20230605,350.12067
20230602,343.72632
20230601,341.39876
20230531,341.25235
20230530,342.51351
20230526,339.66553
20230525,340.61509
20230524,342.00894
20230523,344.10208
20230522,346.70824
20230519,348.16973
20230518,346.3556
20230517,343.08481
20230516,344.6356
20230515,345.45617
20230512,346.31429
20230511,346.7989
20230510,350.5073
20230509,349.63564
20230508,350.58997
20230505,345.39296
20230504,346.07771
20230503,349.65944
20230502,352.32314
20230501,352.99637
20230428,349.34111
20230427,344.69715
20230426,346.56527
20230425,349.30954
20230424,349.41976
20230421,349.65225
20230420,348.75372
20230419,349.94447
20230418,350.36986
20230417,350.36404
20230414,351.2459
20230413,347.66389
20230412,348.29695
20230411,346.8149
20230410,344.80038
20230406,344.4093
20230405,343.79109
20230404,346.20063
20230403,342.94906
20230331,339.0609
20230330,337.74627
20230329,334.92838
20230328,333.23742
20230327,331.94776
20230324,329.16244
20230323,330.14561
20230322,334.62791
20230321,333.42862
20230320,327.45807
20230317,331.33686
20230316,327.65963
20230315,327.29143
20230314,330.00313
20230313,327.24992
20230310,330.6719
20230309,338.11952
20230308,338.41181
20230307,343.79119
20230306,344.10734
20230303,340.17127
20230302,337.47386
20230301,336.53003
20230228,338.42613
20230227,339.10418
20230224,340.40534
20230223,342.56723
20230222,342.1604
20230221,347.98113
20230217,348.09643
20230216,351.00042
20230215,350.81826
20230214,352.37654
20230213,349.56762
20230210,346.99155
20230209,351.11078
20230208,351.0375
20230207,346.95258
20230206,348.37941
20230203,349.26484
20230202,351.70887
20230201,351.13776
20230131,348.35204
20230130,349.0889
20230127,349.89133
20230126,347.67284
20230125,344.923
20230124,343.61287
20230123,343.90689
20230120,340.48501
20230119,341.83702
20230118,349.49325
20230117,351.95715
20230113,350.79884
20230112,350.8696
20230111,347.49135
20230110,345.39312
20230109,346.56852
20230106,340.6411
20230105,342.39137
20230104,341.77302
20230103,341.94965
20221230,342.01188
20221229,341.32012
20221228,343.49007
20221227,342.72675
20221223,340.35404
20221222,343.51062
20221221,341.73173
20221220,338.36198
20221219,340.62835
20221216,343.50761
20221215,350.14007
20221214,353.73955
20221213,355.9878
20221212,347.85978
20221209,349.86752
20221208,349.69114
20221207,348.59095
20221206,352.89557
20221205,357.39947
20221202,356.31232
20221201,358.74222
20221130,351.42478
20221129,352.32063
20221128,356.4211
20221125,355.41227
20221123,353.79663
20221122,350.52419
20221121,350.35877
20221118,349.11235
20221117,346.57737
20221116,349.27214
20221115,351.01415
20221114,349.68849
20221111,351.44891
20221110,346.24293
20221109,343.1999
20221108,342.81472
20221107,338.15044
20221104,336.51509
20221103,333.92713
20221102,340.43769
20221101,343.09081
20221031,341.61794
20221028,335.54781
20221027,334.39922
20221026,331.35249
20221025,328.15714
20221024,324.95143
20221021,315.29988
20221020,316.24105
20221019,316.83894
20221018,319.21088
20221017,312.88917
20221014,313.95639
20221013,298.72163
20221012,303.37582
20221011,302.14319
20221010,305.91702
20221007,308.37684
20221006,314.10113
20221005,312.46034
20221004,310.15528
20221003,300.35333
20220930,303.44287
20220929,307.20744
20220928,304.23361
20220927,306.23056
20220926,307.75451
20220923,312.42912
20220922,314.71129
20220921,321.43769
20220920,321.83823
20220919,319.79322
20220916,320.96918
20220915,323.32974
20220914,323.82266
20220913,332.49027
20220912,333.74582
20220909,331.13691
20220908,327.36784
20220907,324.19383
20220906,325.93117
20220902,331.50997
20220901,327.73611
20220831,331.94834
20220830,335.79371
20220829,335.7119
20220826,347.58674
20220825,345.17165
20220824,343.46898
20220823,345.21607
20220822,350.64736
20220819,353.61652
20220818,354.77402
20220817,354.91877
20220816,353.46951
20220815,350.89354
20220812,348.32617
20220811,348.19567
20220810,344.51179
20220809,340.80977
20220808,341.19575
20220805,337.91581
20220804,339.77109
20220803,337.08963
20220802,338.58621
20220801,339.59337
20220729,336.76679
20220728,333.80738
20220727,330.0288
20220726,330.57746
20220725,330.91825
20220722,333.49947
20220721,330.29001
20220720,330.65665
20220719,323.43462
20220718,326.32582
20220715,318.74288
20220714,315.70768
20220713,319.05227
20220712,323.21163
20220711,324.59766
20220708,325.6541
20220707,323.69137
20220706,320.94843
20220705,320.066
20220701,318.03447
20220630,318.89442
20220629,321.44516
20220628,326.10114
20220627,325.61418
20220624,318.84389
20220623,315.66752
20220622,313.73393
20220621,311.17378
20220617,309.80814
20220616,313.56439
20220615,316.62104
20220614,316.52975
20220613,321.92381
20220610,330.98285
20220609,338.64581
20220608,340.96849
20220607,338.17553
20220606,340.40138
20220603,339.58792
20220602,338.10304
20220601,342.02609
20220531,341.72612
20220527,337.68098
20220526,332.9928
20220525,328.20326
20220524,327.51426
20220523,324.51803
20220520,325.1651
20220519,323.78937
20220518,336.61748
20220517,336.522
20220516,333.33598
20220513,331.7156
20220512,328.63837
20220511,332.70289
20220510,336.9847
20220509,338.52284
20220506,339.10148
20220505,349.92762
20220504,343.21866
20220503,341.98847
20220502,341.21851
20220429,349.9347
20220428,346.54216
20220427,347.14809
20220426,351.53437
20220425,349.3613
20220422,360.03455
20220421,365.90995
20220420,363.19961
20220419,357.65552
20220418,357.4738
20220414,359.36839
20220413,354.22112
20220412,356.41305
