Date,Value
20231218,12.06666
20231215,12.02534
20231214,12.07456
20231213,11.84652
20231212,11.92583
20231211,12.00603
20231208,12.06123
20231207,11.95239
20231205,11.82788
20231204,11.86576
20231201,12.01538
20231130,11.92496
20231129,11.87361
20231128,11.83915
20231127,11.79523
20231124,11.84123
20231123,11.82271
20231122,11.75191
20231121,11.77208
20231120,11.827
20231117,11.80666
20231116,11.68724
20231115,11.81796
20231114,11.77026
20231113,11.55401
20231110,11.53969
20231109,11.65476
20231108,11.52508
20231107,11.44176
20231106,11.50569
20231103,11.46964
20231102,11.37444
20231101,11.09248
20231031,11.1271
20231030,10.99911
20231027,10.96347
20231026,10.96109
20231025,10.90078
20231024,10.90765
20231023,10.77978
20231020,10.85738
20231019,11.02882
20231018,11.21466
20231017,11.39303
20231016,11.52158
20231013,11.49659
20231012,11.5814
20231011,11.58151
20231010,11.55896
20231009,11.31288
20231006,11.32948
20231005,11.19304
20231004,11.21449
20231003,11.28319
20231002,11.43915
20230929,11.55717
20230928,11.46417
20230927,11.3879
20230926,11.44673
20230925,11.54999
20230922,11.69895
20230921,11.72669
20230920,11.8396
20230919,11.80371
20230918,11.85328
20230915,11.92786
20230914,11.92379
20230913,11.69975
20230912,11.729
20230911,11.84825
20230908,11.73498
20230907,11.82053
20230906,11.93131
20230905,11.88934
20230904,11.89716
20230901,11.88086
20230831,11.86529
20230830,11.91717
20230829,11.86382
20230828,11.64735
20230825,11.49077
20230824,11.48835
20230823,11.54561
20230822,11.5018
20230821,11.4076
20230818,11.41862
20230817,11.45129
20230816,11.48016
20230815,11.50762
20230814,11.56012
20230811,11.6384
20230810,11.77245
20230809,11.70109
20230808,11.57005
20230807,11.64641
20230804,11.61786
20230803,11.5604
20230802,11.66515
20230801,11.85822
20230731,11.87854
20230728,11.88204
20230727,11.86784
20230726,12.0244
20230725,12.12562
20230724,11.95522
20230721,11.92875
20230720,11.9605
20230719,11.98663
20230718,11.95035
20230717,11.84849
20230714,11.90869
20230713,12.0695
20230712,12.01061
20230711,11.87082
20230710,11.80189
20230707,11.83933
20230706,11.793
20230705,12.00129
20230704,12.08908
20230703,12.06853
20230630,11.97617
20230629,11.91264
20230628,11.95823
20230627,11.88565
20230626,11.84456
20230622,11.83406
20230621,12.04694
20230620,12.25374
20230619,12.48528
20230616,12.64156
20230615,12.64263
20230614,12.67621
20230613,12.63546
20230612,12.5309
20230609,12.51491
20230608,12.48207
20230607,12.48987
20230606,12.48537
20230605,12.41362
20230602,12.42075
20230601,12.1302
20230531,12.05692
20230530,12.21073
20230529,12.23095
20230526,12.2578
20230525,12.12626
20230524,12.26217
20230523,12.47707
20230522,12.46379
20230519,12.4919
20230517,12.47451
20230516,12.50331
20230515,12.67586
20230512,12.65676
20230511,12.69256
20230510,12.70098
20230509,12.71117
20230508,12.86737
20230505,12.8338
20230504,12.66485
20230503,12.75173
20230502,12.66065
20230428,12.79321
20230427,12.81984
20230426,12.83511
20230425,12.75184
20230424,12.76597
20230421,12.7319
20230420,12.82362
20230419,12.90024
20230418,12.95069
20230417,12.99015
20230414,13.01196
20230413,12.91615
20230412,12.89031
20230411,12.95882
20230406,12.82198
20230405,12.76548
20230404,12.87743
20230403,12.81759
20230331,12.86774
20230330,12.80488
20230329,12.59515
20230328,12.48146
20230327,12.50874
20230324,12.43329
20230323,12.6945
20230322,12.74226
20230321,12.83463
20230320,12.56261
20230317,12.44114
20230316,12.62508
20230315,12.57031
20230314,13.00832
20230313,12.85047
20230310,13.1215
20230309,13.35582
20230308,13.48288
20230307,13.47618
20230306,13.59789
20230303,13.64952
20230302,13.46912
20230301,13.51052
20230228,13.52568
20230227,13.5475
20230224,13.34848
20230223,13.4454
20230222,13.47579
20230221,13.48843
20230220,13.51833
20230217,13.44235
20230216,13.52089
20230215,13.481
20230214,13.50609
20230213,13.52388
20230210,13.34901
20230209,13.56565
20230208,13.56644
20230207,13.49525
20230206,13.50108
20230203,13.64992
20230202,13.64518
20230201,13.39942
20230131,13.31419
20230130,13.45615
20230127,13.54391
20230126,13.54028
20230125,13.42232
20230124,13.52257
20230123,13.56547
20230120,13.47536
20230119,13.39176
20230118,13.54769
20230117,13.49145
20230116,13.64126
20230113,13.63751
20230112,13.67541
20230111,13.54037
20230110,13.54026
20230109,13.69165
20230105,13.40809
20230104,13.31753
20230103,13.24953
20230102,13.25647
20221230,12.99642
20221229,13.14959
20221228,13.08517
20221227,13.16938
20221223,13.14558
20221222,13.12962
20221221,13.18099
20221220,13.07492
20221219,13.00181
20221216,12.90552
20221215,13.09641
20221214,13.41254
20221213,13.38957
20221212,13.28068
20221209,13.41677
20221208,13.24652
20221207,13.29485
20221205,13.52362
20221202,13.53517
20221201,13.46403
20221130,13.29301
20221129,13.19454
20221128,13.07666
20221125,13.24091
20221124,13.24127
20221123,13.20155
20221122,13.1618
20221121,13.06389
20221118,13.12642
20221117,13.00327
20221116,13.13017
20221115,13.21957
20221114,13.22122
20221111,13.17904
20221110,13.13354
20221109,12.97966
20221108,12.97666
20221107,12.88013
20221104,12.73364
20221103,12.39371
20221102,12.46784
20221101,12.55258
20221031,12.43187
20221028,12.41385
20221027,12.53045
20221026,12.59467
20221025,12.46903
20221024,12.37258
20221021,12.24099
20221020,12.25277
20221019,12.35503
20221018,12.44863
20221017,12.35358
20221014,12.12181
20221013,11.93554
20221012,11.83188
20221011,11.85254
20221010,11.83644
20221007,11.86434
20221006,12.0974
20221005,12.18991
20221004,12.3678
20221003,11.98231
20220930,11.81503
20220929,11.58847
20220928,11.84155
20220927,11.80719
20220926,11.77861
20220923,11.85129
20220922,12.07081
20220921,12.2424
20220920,12.08648
20220919,12.28991
20220916,12.40738
20220915,12.51187
