Date,Value
20231109,290.09391
20231108,291.64925
20231107,292.79066
20231106,291.59165
20231102,287.71095
20231101,281.35161
20231031,275.53885
20231030,274.98128
20231027,275.157
20231026,276.57425
20231025,279.86978
20231024,278.8483
20231023,278.52392
20231020,278.35987
20231019,282.34664
20231018,286.12093
20231017,286.10115
20231016,285.66744
20231013,289.04198
20231012,286.89915
20231011,284.73885
20231010,279.69768
20231006,277.2004
20231005,275.05932
20231004,275.06427
20231003,282.31739
20231002,287.0176
20230929,285.98543
20230928,287.17316
20230927,286.02767
20230926,291.24306
20230925,290.43902
20230922,287.22125
20230921,292.96051
20230920,296.78685
20230919,297.39666
20230915,298.87733
20230914,294.67624
20230913,293.32982
20230912,292.60893
20230911,293.45252
20230908,295.18347
20230907,297.29464
20230906,296.96633
20230905,295.11369
20230904,293.52871
20230901,290.76541
20230831,289.62391
20230830,289.97682
20230829,288.90391
20230828,285.92443
20230825,285.54013
20230824,288.4254
20230823,284.4371
20230822,285.392
20230821,283.5228
20230818,281.7227
20230817,284.14399
20230816,287.51811
20230815,291.46877
20230814,291.93573
20230810,288.25838
20230809,291.52287
20230808,292.57335
20230807,288.26468
20230804,289.43483
20230803,292.95035
20230802,299.41494
20230801,300.64575
20230731,299.46653
20230728,293.5708
20230727,294.57973
20230726,295.92829
20230725,295.63888
20230724,295.41415
20230721,292.30756
20230720,296.23023
20230719,296.60582
20230718,293.68626
20230714,295.16131
20230713,291.08493
20230712,292.373
20230711,293.48258
20230710,292.81921
20230707,293.62709
20230706,298.82988
20230705,300.09145
20230704,303.53362
20230703,303.88256
20230630,299.51302
20230629,301.97172
20230628,297.15339
20230627,295.24966
20230626,295.69733
20230623,303.34537
20230622,302.8611
20230621,301.00877
20230620,301.33546
20230619,305.55337
20230616,302.5091
20230615,303.66578
20230614,301.8961
20230613,296.18837
20230612,293.5692
20230609,289.46505
20230608,288.72956
20230607,295.14848
20230606,289.73113
20230605,288.89149
20230602,283.50283
20230601,279.46965
20230531,281.29617
20230530,282.27675
20230529,283.73048
20230526,279.68319
20230525,276.6007
20230524,277.49502
20230523,281.88386
20230522,277.55843
20230519,278.8433
20230518,275.36646
20230517,270.39213
20230516,269.45175
20230515,267.08911
20230512,264.2076
20230511,263.14565
20230510,263.59458
20230509,262.33067
20230508,262.74617
20230502,264.13925
20230501,261.88717
20230428,258.45606
20230427,255.42102
20230426,256.40873
20230425,258.63976
20230424,258.30214
