Date,Value
20210825,53.15304
20210824,52.94219
20210823,52.19913
20210820,51.57494
20210819,50.93568
20210818,51.67305
20210817,51.8874
20210816,52.18161
20210813,52.27847
20210812,51.91247
20210811,52.17292
20210810,52.41512
20210809,52.2901
20210806,52.20835
20210805,52.08305
20210804,51.87063
20210803,51.60419
20210802,51.72206
20210730,51.11045
20210729,51.50562
20210728,51.52484
20210727,51.80543
20210726,51.7114
20210723,51.36737
20210722,50.94295
20210721,50.50782
20210720,50.03776
20210719,49.70195
20210716,50.76035
20210715,51.0218
20210714,51.35209
20210713,51.01336
20210712,51.09101
20210709,50.45863
20210708,49.95668
20210707,51.07757
20210706,50.56489
20210702,50.09753
20210701,49.79547
20210630,49.84611
20210629,49.77148
20210628,49.3037
20210625,49.2369
20210624,49.15536
20210623,48.82123
20210622,48.31141
20210621,48.06865
20210618,48.35707
20210617,47.69812
20210616,48.01358
20210615,48.29358
20210614,47.83941
20210611,47.7418
20210610,47.26583
20210609,47.42045
20210608,47.39976
20210607,47.00539
20210604,46.62708
20210603,46.40607
20210602,46.6558
20210601,47.07421
20210528,46.95988
20210527,46.8095
20210526,46.85961
20210525,46.85885
20210524,46.23201
20210521,46.51449
20210520,45.60553
20210519,44.63479
20210518,45.89552
20210517,45.77256
20210514,45.4148
20210513,45.00839
20210512,45.12692
20210511,44.90185
20210510,46.72274
20210507,46.90762
20210506,46.18597
20210505,46.7746
20210504,46.92979
20210503,47.8094
20210430,47.53752
20210429,48.19616
20210428,47.76991
20210427,48.14198
20210426,47.77446
20210423,47.17756
20210422,47.56177
20210421,47.09011
20210420,47.55885
20210419,47.87708
20210416,48.14871
20210415,47.75384
20210414,47.98717
20210413,47.643
20210412,47.31437
20210409,47.07673
20210408,47.10166
20210407,46.54184
20210406,46.54072
20210405,46.03753
20210401,45.51733
20210331,44.44843
20210330,44.17662
20210329,44.29112
20210326,43.74273
20210325,43.54801
20210324,44.84477
20210323,44.98591
20210322,44.39992
20210319,43.8396
20210318,44.61655
20210317,44.6352
20210316,45.13234
20210315,44.33123
20210312,44.16065
20210311,44.50434
20210310,44.5137
20210309,43.38803
20210308,43.41139
20210305,43.24625
20210304,43.502
20210303,44.79872
20210302,45.70819
20210301,45.00389
20210226,44.54363
20210225,45.40997
20210224,45.10459
20210223,44.75848
20210222,46.20046
20210219,47.18517
20210218,46.783
20210217,47.10663
20210216,47.86216
20210212,47.31304
20210211,47.36147
20210210,47.40992
20210209,47.07215
20210208,47.04287
20210205,46.72222
20210204,46.20172
20210203,46.5925
20210202,45.91506
20210201,44.91723
20210129,45.06804
20210128,45.15522
20210127,45.82205
20210126,46.24256
