Date,Value
20220422,6.65842
20220421,6.83723
20220420,6.77135
20220419,6.66543
20220418,6.7875
20220415,6.79428
20220414,6.80106
20220413,6.80995
20220412,6.87668
20220411,6.91824
20220408,6.9759
20220407,6.82889
20220406,6.86168
20220405,6.79998
20220404,6.79577
20220401,6.7254
20220331,6.73866
20220330,6.61145
20220329,6.59684
20220328,6.41895
20220325,6.49706
20220324,6.58828
20220323,6.67007
20220322,6.69035
20220321,6.70479
20220318,6.68011
20220317,6.54603
20220316,6.48347
20220315,6.27807
20220314,6.308
20220311,6.34748
20220310,6.40037
20220309,6.40215
20220308,6.29526
20220307,6.17513
20220304,6.33279
20220303,6.42937
20220302,6.46786
20220301,6.46597
20220228,6.22786
20220225,6.12453
20220224,5.80206
20220223,6.09638
20220222,5.90496
20220221,6.23023
20220218,6.34043
20220217,6.38293
20220216,6.36348
20220215,6.18772
20220214,6.1864
20220211,6.385
20220210,6.52464
20220209,6.27132
20220208,6.33764
20220207,6.28872
20220204,6.52544
20220203,6.66289
20220202,6.6228
20220201,6.48458
20220131,6.34869
20220128,6.30726
20220127,6.14615
20220126,6.24493
20220125,6.2192
20220124,6.31529
20220121,6.40202
20220120,6.4523
20220119,6.34903
20220118,6.48504
20220117,6.45903
20220114,6.59829
20220113,6.64599
20220112,6.6354
20220111,6.63107
20220110,6.76188
20220107,6.73865
20220106,6.79838
20220105,6.98164
20220104,7.11828
20220103,7.16566
20211231,7.09591
20211230,7.08885
20211229,7.11803
20211228,7.1253
20211227,6.99733
20211224,7.00207
20211223,7.01887
20211222,6.88343
20211221,6.78817
20211220,7.00863
20211217,7.09878
20211216,7.12278
20211215,6.92725
20211214,7.07311
20211213,7.04767
20211210,7.02414
20211209,7.05954
20211208,6.97098
20211207,6.7892
20211206,6.75255
20211203,6.74965
20211202,6.85202
20211201,6.81609
20211130,6.83922
20211129,6.92371
20211126,6.69366
20211125,6.93635
20211124,6.9328
20211123,7.07359
20211122,7.21184
20211119,7.22325
20211118,7.27923
20211117,7.23518
20211116,7.24566
20211115,7.22702
20211112,7.19794
20211111,7.11748
20211110,7.13932
20211109,7.11517
20211108,7.05578
20211105,7.15574
20211104,7.13765
20211103,7.10198
20211102,6.98785
20211101,7.04422
20211029,6.98133
20211028,6.89559
20211027,6.99036
20211026,6.95886
20211025,6.96164
20211022,6.85959
20211021,6.81274
20211020,6.77508
20211019,6.71432
20211018,6.67232
20211015,6.65461
20211014,6.64341
20211013,6.48688
20211012,6.41034
20211011,6.43229
20211008,6.56323
20211007,6.49033
20211006,6.4566
20211005,6.40865
20211004,6.46119
20211001,6.48601
20210930,6.67278
20210929,6.56929
20210928,6.68285
20210927,6.85512
20210924,6.90371
20210923,6.88858
20210922,6.87614
20210921,6.69284
20210920,6.73598
20210917,6.87266
20210916,6.76259
20210915,6.80519
20210914,6.79195
20210913,6.78564
20210910,6.8146
