Date,Value
20210825,11.68644
20210824,11.7744
20210823,11.75899
20210820,11.53589
20210819,11.60379
20210818,11.80955
20210817,11.73055
20210816,11.88971
20210813,11.94614
20210812,11.93308
20210811,11.92619
20210810,11.88196
20210809,11.84329
20210806,11.95184
20210805,11.94279
20210804,11.91716
20210803,11.87605
20210802,11.86487
20210730,11.81129
20210729,11.90765
20210728,11.85815
20210727,11.86711
20210726,11.87681
20210723,11.79341
20210722,11.69953
20210721,11.56282
20210720,11.45611
20210719,11.60586
20210716,11.6848
20210715,11.70063
20210714,11.64049
20210713,11.6297
20210712,11.54659
20210709,11.44099
20210708,11.50717
20210707,11.40728
20210706,11.42177
20210705,11.34185
20210702,11.30167
20210701,11.25421
20210630,11.27587
20210629,11.17194
20210628,11.27649
20210624,11.1419
20210623,11.28155
20210622,11.27077
20210621,11.09089
20210618,11.248
20210617,11.29883
20210616,11.32439
20210615,11.37183
20210614,11.31768
20210611,11.22285
20210610,11.25347
20210609,11.28041
20210608,11.20882
20210607,11.2323
20210604,11.24817
20210603,11.22557
20210602,11.22461
20210601,11.14229
20210531,11.13995
20210528,11.12513
20210527,11.01506
20210526,11.12635
20210525,11.15217
20210524,11.1148
20210521,11.15728
20210520,10.99675
20210519,11.05426
20210518,11.15146
20210517,11.16022
20210514,11.0605
20210512,10.87102
20210511,11.13071
20210510,11.24443
20210507,11.25231
20210506,11.18915
20210505,11.01843
20210504,11.13844
20210503,11.09161
20210430,11.17231
20210429,11.21713
20210428,11.30824
20210427,11.20671
20210426,11.20954
20210423,11.10096
20210422,11.18414
20210421,11.0615
20210420,11.24482
20210419,11.39076
20210416,11.18304
20210415,11.15041
20210414,11.20639
20210413,11.16175
20210412,11.20949
20210409,11.20435
20210408,11.16343
20210407,11.12137
20210406,11.07878
20210401,10.94316
20210331,10.93485
20210330,10.88157
20210329,10.94372
20210326,10.84032
20210325,10.82121
20210324,10.71699
20210323,10.81952
20210322,10.75097
20210319,10.78685
20210318,10.8643
20210317,10.85915
20210316,10.83758
20210315,10.8557
20210312,10.75797
20210311,10.69054
20210310,10.57008
20210309,10.49174
20210308,10.30108
20210305,10.24878
20210304,10.29242
20210303,10.3615
20210302,10.26217
20210301,10.12822
20210226,10.01954
20210225,10.22139
20210224,10.05803
20210223,10.14978
20210222,10.13091
20210219,10.07568
20210218,10.04646
20210217,10.13671
20210216,10.18041
20210215,10.15981
20210212,10.00115
20210211,9.97839
20210210,9.97483
20210209,9.98626
20210208,9.95411
20210205,10.001
20210204,9.984
20210203,9.98526
20210202,9.8998
20210201,9.76355
20210129,9.74252
20210128,9.76962
20210127,9.92635
20210126,9.84731
20210125,9.94208
20210122,9.88696
20210121,9.93236
20210120,9.8173
20210119,9.86888
20210118,9.74101
20210115,9.81905
20210114,9.80138
20210113,9.76008
20210112,9.68795
20210111,9.71087
20210108,9.71689
20210107,9.61108
20210105,9.3895
20210104,9.41073
20201230,9.41878
20201229,9.40819
20201228,9.32932
20201223,9.28198
20201222,9.21415
20201221,9.27893
20201218,9.37122
20201217,9.45387
20201216,9.45026
20201215,9.40021
20201214,9.48193
20201211,9.43251
20201210,9.60977
20201209,9.64916
20201208,9.4985
20201207,9.57923
20201204,9.53517
20201203,9.56222
20201202,9.54353
20201201,9.56944
20201130,9.59522
20201127,9.57491
20201126,9.63354
20201125,9.65854
20201124,9.61441
20201123,9.59259
20201120,9.4818
20201119,9.47153
20201118,9.49713
20201117,9.48058
20201116,9.46156
20201113,9.35292
20201112,9.38613
20201111,9.35013
20201110,9.36568
20201109,9.16031
20201106,9.03921
20201105,9.00083
20201104,8.70649
20201103,8.7883
20201102,8.58184
20201030,8.47104
20201029,8.56037
20201028,8.66538
20201027,8.90525
20201026,8.96148
20201023,9.06662
20201022,9.0261
20201021,9.2246
20201020,9.19752
20201019,9.19027
20201016,9.13723
20201015,9.10295
20201014,9.16427
20201013,9.23756
20201012,9.1782
20201009,9.18283
20201008,9.21906
20201007,9.16457
20201006,9.22989
20201005,9.12291
20201002,9.0543
20201001,9.14662
20200930,9.11218
20200929,9.14756
20200928,9.04488
20200925,8.89292
20200924,8.85647
20200923,8.94028
20200922,8.89119
20200921,9.09322
20200918,9.14244
20200917,9.08493
20200916,9.10107
20200915,8.98938
20200914,9.04168
20200911,8.98633
20200910,9.03023
20200909,8.88444
20200908,8.99268
20200907,8.86288
20200904,8.77205
20200903,8.96819
20200902,8.85292
20200901,8.85823
20200831,8.89439
20200828,8.94752
20200827,8.97049
20200826,8.87093
20200825,8.94448
20200824,8.79449
20200821,8.76208
20200820,8.76548
20200819,8.79574
20200818,8.8046
20200817,8.76736
20200814,8.89053
20200813,8.87425
20200812,8.89457
20200811,8.79414
20200810,8.7324
20200807,8.64085
20200806,8.71074
20200805,8.70396
20200804,8.75605
20200803,8.5349
20200731,8.61403
20200730,8.7824
20200729,8.74243
20200728,8.78915
20200727,8.72167
20200724,8.76976
20200723,8.93264
20200722,8.87455
20200721,8.96193
20200720,8.85012
20200717,8.86714
20200716,8.78227
20200715,8.75744
20200714,8.64409
20200713,8.62157
20200710,8.44669
20200709,8.59328
20200708,8.51987
20200707,8.59452
20200706,8.58477
20200703,8.4905
20200702,8.41551
20200701,8.27659
20200630,8.33134
20200629,8.22962
20200626,8.34522
20200625,8.12451
20200624,8.32422
20200623,8.29682
20200622,8.2386
20200618,8.30186
20200617,8.33208
20200616,8.22113
20200615,7.85029
20200612,7.91939
20200611,8.25078
20200610,8.47004
20200609,8.57275
20200608,8.58124
20200605,8.50716
20200604,8.46417
20200603,8.37945
20200602,8.25535
20200601,8.23014
20200529,8.19408
20200528,8.17677
20200527,8.01914
20200526,8.00083
20200525,7.83556
20200522,7.67576
20200520,7.71795
20200519,7.87628
20200518,7.58836
20200515,7.43254
20200514,7.52154
20200513,7.72955
20200512,7.72164
20200511,7.83403
20200508,7.72942
20200507,7.63903
20200506,7.66286
20200505,7.60422
20200504,7.62936
20200430,7.97348
20200429,7.80077
20200428,7.67457
20200427,7.65346
20200424,7.55542
20200423,7.64903
20200422,7.52018
20200421,7.59679
20200420,7.72013
20200417,7.59589
20200416,7.44507
20200415,7.61164
20200414,7.61114
20200409,7.54871
20200408,7.41996
20200407,7.42431
20200406,7.18085
20200403,7.08704
20200402,7.13426
20200401,7.13902
20200331,7.29553
20200330,7.07391
20200327,7.20554
20200326,6.98762
20200325,7.05607
20200324,6.67695
20200323,6.3691
20200320,7.01559
20200319,6.6284
20200318,6.55192
20200317,6.73243
20200316,6.426
20200313,6.7817
20200312,7.03967
20200311,7.61124
20200310,7.64626
20200309,7.4729
20200306,8.09482
20200305,8.45398
20200304,8.34211
20200303,8.36332
20200302,8.36261
20200228,8.1943
20200227,8.75755
20200226,8.69827
20200225,8.85493
20200224,9.22088
20200221,9.35221
20200220,9.38098
20200219,9.27298
20200218,9.31435
20200217,9.31493
20200214,9.28982
20200213,9.30532
20200212,9.30226
20200211,9.16722
20200210,9.10739
20200207,9.10859
20200206,9.08269
20200205,8.94072
20200204,8.75908
20200203,8.7437
20200131,8.75735
20200130,8.74955
20200129,8.76514
20200128,8.68964
20200127,8.87006
20200124,8.83116
20200123,8.8948
20200122,8.97465
20200121,8.94563
20200120,8.96218
20200117,8.89562
20200116,8.75953
20200115,8.79451
20200114,8.7756
20200113,8.76399
20200110,8.80961
20200109,8.81928
20200108,8.81574
20200107,8.75678
20200103,8.85318
20200102,8.67505
20191230,8.8103
20191227,8.79427
20191223,8.77919
20191220,8.73062
20191219,8.76227
20191218,8.76455
20191217,8.75987
20191216,8.68785
20191213,8.65127
20191212,8.56191
20191211,8.52079
20191210,8.56712
20191209,8.55556
20191206,8.45634
20191205,8.46062
20191204,8.31299
20191203,8.34975
20191202,8.47476
20191129,8.4775
20191128,8.50447
20191127,8.54119
20191126,8.54867
20191125,8.47649
20191122,8.4399
20191121,8.4612
20191120,8.54568
20191119,8.55403
20191118,8.60499
20191115,8.62245
20191114,8.64827
20191113,8.67574
20191112,8.635
20191111,8.65568
20191108,8.63579
20191107,8.64568
20191106,8.67671
20191105,8.68033
20191104,8.51951
20191101,8.48186
20191031,8.55632
20191030,8.52142
20191029,8.61831
20191028,8.56961
20191025,8.51938
20191024,8.45959
20191023,8.47017
20191022,8.45199
20191021,8.31079
20191018,8.22821
20191017,8.2444
20191016,8.16917
20191015,8.09423
20191014,8.10118
20191011,8.00603
20191010,7.95864
20191009,7.88834
20191008,7.96654
20191007,7.85765
20191004,7.83841
20191003,7.84888
20191002,8.0431
20191001,8.1009
20190930,8.0848
20190927,8.02417
20190926,7.96007
20190925,8.02353
20190924,8.0619
20190923,8.19302
20190920,8.19245
20190919,8.1361
20190918,8.11741
20190917,8.15102
20190916,8.17414
20190913,8.11968
20190912,8.04635
20190911,7.99226
20190910,7.92732
20190909,7.89262
20190906,7.86158
20190905,7.77641
20190904,7.72217
20190903,7.71442
20190902,7.75869
20190830,7.66708
20190829,7.51387
20190828,7.54315
20190827,7.46967
20190826,7.45872
20190823,7.54506
20190822,7.57111
20190821,7.52271
20190820,7.54914
20190819,7.46165
20190816,7.32908
20190815,7.35358
20190814,7.53119
20190813,7.49258
20190812,7.50294
20190809,7.59824
20190808,7.51548
20190807,7.48141
20190806,7.52834
20190805,7.69341
20190802,7.89132
20190801,7.85085
20190731,7.86067
20190730,7.92564
20190729,7.89996
20190726,7.89117
20190725,7.91634
20190724,7.96562
20190723,7.86037
20190722,7.88316
20190719,7.76019
20190718,7.85846
20190717,7.99533
20190716,8.00186
20190715,7.97934
20190712,7.9068
20190711,7.95656
20190710,7.99056
20190709,8.0466
20190708,8.02784
20190705,8.12052
20190704,8.11347
20190703,8.11324
20190702,8.09485
20190701,7.99355
20190628,7.97223
20190627,7.90612
20190626,7.91829
20190625,7.93154
20190624,8.02449
20190620,7.96705
20190619,7.93693
20190618,7.81475
20190617,7.84093
20190614,7.88397
20190613,7.85508
20190612,7.84839
20190611,7.76874
20190610,7.74548
20190607,7.60978
20190605,7.58858
20190604,7.50083
20190603,7.45157
20190531,7.59173
20190529,7.71118
20190528,7.73738
20190527,7.75249
20190524,7.70746
20190523,7.84928
20190522,7.90453
20190521,7.83622
20190520,7.90719
20190517,7.95222
20190516,7.85587
20190515,7.83745
20190514,7.76278
20190513,7.89676
20190510,7.87485
20190509,8.00771
20190508,7.99003
20190507,8.13307
20190506,8.21388
20190503,8.20097
20190502,8.24599
20190430,8.33096
20190429,8.33157
20190426,8.32392
20190425,8.27837
20190424,8.23624
20190423,8.2201
20190418,8.165
20190417,8.09158
20190416,8.05631
20190415,8.05976
20190412,7.99811
20190411,8.00497
20190410,7.96065
20190409,8.01409
20190408,7.98897
20190405,7.96967
20190404,7.9932
20190403,7.86948
20190402,7.78583
20190401,7.65136
20190329,7.67509
20190328,7.68766
20190327,7.72683
20190326,7.7326
20190325,7.73576
20190322,7.88685
20190321,7.89139
20190320,7.94489
20190319,7.90967
20190318,7.85311
20190315,7.81986
20190314,7.7241
20190313,7.69486
20190312,7.73674
20190311,7.68023
20190308,7.66809
20190307,7.73
20190306,7.79875
20190305,7.80605
20190304,7.77822
20190301,7.739
20190228,7.75992
20190227,7.78255
20190226,7.7847
20190225,7.81868
20190222,7.74038
20190221,7.79558
20190220,7.79624
20190219,7.77108
20190218,7.77606
20190215,7.66281
20190214,7.65874
20190213,7.60629
20190212,7.56643
20190211,7.48213
20190208,7.49571
20190207,7.6108
20190206,7.57309
20190205,7.48816
20190204,7.48326
20190201,7.42132
20190131,7.40298
20190130,7.35327
20190129,7.29449
20190128,7.34969
20190125,7.27649
20190124,7.2433
20190123,7.26769
20190122,7.30842
20190121,7.33607
20190118,7.2198
20190117,7.19557
20190116,7.14533
20190115,7.16947
20190114,7.1755
20190111,7.20513
20190110,7.20705
20190109,7.16028
20190108,7.06816
20190107,7.04634
20190104,6.84514
20190103,6.88
20190102,6.90582
20181228,6.81392
20181227,6.9173
20181221,6.95126
20181220,7.08374
20181219,7.07884
20181218,7.10284
20181217,7.19814
20181214,7.23278
20181213,7.32388
20181212,7.17652
20181211,7.04105
20181210,7.09784
20181207,7.05207
20181206,7.25046
20181205,7.36309
20181204,7.49895
20181203,7.48357
20181130,7.43566
20181129,7.3744
20181128,7.36014
20181127,7.36227
20181126,7.26136
20181123,7.19829
20181122,7.25267
20181121,7.15439
20181120,7.26224
20181119,7.35177
20181116,7.31184
20181115,7.36618
20181114,7.43552
20181113,7.42455
20181112,7.51239
20181109,7.53867
20181108,7.57368
20181107,7.53935
20181106,7.55007
20181105,7.59976
20181102,7.5286
20181101,7.53634
20181031,7.44096
20181030,7.3571
20181029,7.27483
20181026,7.35847
20181025,7.34455
20181024,7.39319
20181023,7.45799
20181022,7.5133
20181019,7.58451
20181018,7.61221
20181017,7.613
20181016,7.5233
20181015,7.52311
20181012,7.60211
20181011,7.79234
20181010,7.95278
20181009,7.93036
20181008,8.01041
20181005,8.0746
20181004,8.15759
20181003,8.12136
20181002,8.16455
20181001,8.15713
20180928,8.20856
20180927,8.13068
20180926,8.11931
20180925,8.11822
20180924,8.14377
20180921,8.06687
20180920,7.98948
20180919,7.97948
20180918,8.05387
20180917,8.03085
20180914,7.97161
20180913,7.95839
20180912,7.95938
20180911,7.9874
20180910,7.96044
20180907,8.02589
20180906,8.01139
20180905,8.07167
20180904,8.15518
20180903,8.14878
20180831,8.20807
20180830,8.22635
20180829,8.19204
20180828,8.17248
20180827,8.09006
20180824,8.06244
20180823,8.07056
20180822,8.0332
20180821,8.00991
20180820,7.98174
20180817,7.92693
20180816,7.84484
20180815,7.90354
20180814,7.9258
20180813,7.94887
20180810,8.01621
20180809,7.98602
20180808,7.97917
20180807,7.92496
20180806,7.94272
20180803,7.87029
20180802,7.93656
20180801,7.96843
20180731,7.93282
20180730,7.95547
20180727,7.94483
20180726,7.86445
20180725,7.8878
20180724,7.78619
20180723,7.76196
20180720,7.78609
20180719,7.73899
20180718,7.66637
20180717,7.64353
20180716,7.63326
20180713,7.58273
20180712,7.50385
20180711,7.60578
20180710,7.58425
20180709,7.51438
20180706,7.52838
20180705,7.50054
20180704,7.56751
20180703,7.59619
20180702,7.67925
20180629,7.56043
20180628,7.59208
20180627,7.54614
20180626,7.56703
20180625,7.64499
20180621,7.75188
20180620,7.71997
20180619,7.69173
20180618,7.74706
20180615,7.84375
20180614,7.77152
20180613,7.78745
20180612,7.77924
20180611,7.71112
20180608,7.68997
20180607,7.73751
20180605,7.73681
20180604,7.75902
20180601,7.66515
20180531,7.72542
20180530,7.76093
20180529,7.78787
20180528,7.82696
20180525,7.86223
20180524,7.89154
20180523,7.98096
20180522,7.99914
20180521,7.9663
20180518,7.93837
20180517,7.85275
20180516,7.88235
20180515,7.84673
20180514,7.86758
20180511,7.92327
20180509,7.87597
20180508,7.81784
20180507,7.7237
20180504,7.66631
20180503,7.78985
20180502,7.71846
20180430,7.74417
20180427,7.70079
20180426,7.62539
20180425,7.71424
20180424,7.78595
20180423,7.72459
20180420,7.66074
20180419,7.62029
20180418,7.58044
20180417,7.4913
20180416,7.47474
20180413,7.45224
20180412,7.38714
20180411,7.49629
20180410,7.43815
20180409,7.43132
20180406,7.50358
20180405,7.36664
20180404,7.40451
20180403,7.51414
20180329,7.40864
20180328,7.38245
20180327,7.328
20180326,7.40229
20180323,7.41001
20180322,7.56957
20180321,7.60071
20180320,7.59103
20180319,7.71834
20180316,7.80477
20180315,7.78109
20180314,7.73684
20180313,7.81945
20180312,7.79688
20180309,7.76527
20180308,7.65056
20180307,7.63048
20180306,7.58708
20180305,7.47038
20180302,7.64308
20180301,7.7672
20180228,7.79285
20180227,7.80728
20180226,7.75362
20180223,7.72443
20180222,7.71106
20180221,7.68346
20180220,7.58566
20180219,7.62985
20180216,7.57427
20180215,7.52225
20180214,7.43151
20180213,7.46745
20180212,7.37366
20180209,7.45058
20180208,7.614
20180207,7.42546
20180206,7.53955
20180205,7.75965
20180202,7.85025
20180201,7.8299
20180131,7.86818
20180130,7.88116
20180129,7.88397
20180126,7.86603
20180125,7.9725
20180124,8.05027
20180123,8.02178
20180122,7.98618
20180119,7.94374
20180118,7.94716
20180117,7.9385
20180116,7.96488
20180115,7.96467
20180112,7.9854
20180111,7.97127
20180110,7.98926
20180109,7.9182
20180108,7.89722
20180105,7.86157
20180104,7.77433
20180103,7.74458
20180102,7.72145
20171229,7.76981
20171228,7.80894
20171227,7.87274
20171222,7.91186
20171221,7.84152
20171220,7.90771
20171219,7.9334
20171218,7.83437
20171215,7.90349
20171214,7.95382
20171213,7.97401
20171212,7.96749
20171211,7.91106
20171208,7.84737
20171207,7.82334
20171206,7.89466
20171205,7.92303
20171204,7.82784
20171201,7.88696
20171130,7.916
20171129,7.9609
20171128,7.89235
20171127,7.91322
20171124,7.91114
20171123,7.92312
20171122,8.01311
20171121,7.9409
20171120,7.92033
20171117,7.9904
20171116,7.96664
