Date,Value
20231215,8.38574
20231214,8.44999
20231213,8.35391
20231212,8.36612
20231211,8.41428
20231208,8.38882
20231207,8.33674
20231206,8.35596
20231205,8.37727
20231204,8.38548
20231201,8.49725
20231130,8.50165
20231129,8.42699
20231128,8.49132
20231127,8.554
20231124,8.57943
20231123,8.51417
20231122,8.3701
20231121,8.40882
20231120,8.52883
20231117,8.44867
20231116,8.3549
20231115,8.52637
20231114,8.51996
20231113,8.48938
20231110,8.40853
20231109,8.43118
20231108,8.34344
20231107,8.31276
20231106,8.50698
20231103,8.46655
20231102,8.516
20231101,8.46403
20231031,8.43936
20231030,8.37347
20231027,8.33785
20231026,8.26272
20231025,8.3113
20231024,8.33207
20231023,8.2645
20231020,8.37644
20231019,8.45953
20231018,8.56902
20231017,8.52853
20231016,8.51976
20231013,8.50149
20231012,8.4791
20231011,8.35794
20231010,8.37925
20231009,8.28386
20231006,8.06646
20231005,8.08524
20231004,8.05086
20231003,8.17192
20231002,8.28139
20230929,8.33697
20230928,8.33914
20230927,8.38096
20230926,8.27781
20230925,8.31051
20230922,8.41265
20230921,8.37765
20230920,8.45452
20230919,8.41987
20230918,8.40807
20230915,8.41964
20230914,8.41564
20230913,8.2513
20230912,8.25903
20230911,8.25724
20230908,8.21864
20230907,8.1942
20230906,8.22413
20230905,8.22721
20230904,8.19279
20230901,8.17287
20230831,8.0856
20230830,8.05741
20230829,8.03467
20230828,8.03876
20230825,7.95424
20230824,7.92386
20230823,7.93467
20230822,8.0138
20230821,8.0471
20230818,8.00577
20230817,8.11533
20230816,8.11949
20230815,8.1012
20230814,8.1056
20230811,8.13836
20230810,8.08923
20230809,8.11764
20230808,7.88569
20230807,7.92956
20230804,7.99339
20230803,7.89899
20230802,7.89311
20230801,7.98624
20230731,7.97393
20230728,7.91361
20230727,7.93783
20230726,7.87348
20230725,7.95397
20230724,7.94199
20230721,7.87821
20230720,7.8398
20230719,7.76563
20230718,7.69742
20230717,7.59165
20230714,7.65929
20230713,7.74913
20230712,7.7656
20230711,7.71293
20230710,7.70149
20230707,7.69277
20230706,7.69044
20230705,7.80464
20230704,7.88135
20230703,7.87327
20230630,7.79853
20230629,7.77949
20230628,7.7212
20230627,7.65354
20230626,7.72165
20230623,7.70065
20230622,7.77067
20230621,7.91142
20230620,7.92915
20230619,7.91027
20230616,7.99479
20230615,7.93811
20230614,7.94812
20230613,7.99491
20230612,7.8621
20230609,7.88985
20230608,7.84061
20230607,7.82514
20230606,7.73498
20230605,7.82646
20230602,7.79735
20230601,7.64159
20230531,7.6103
20230530,7.69772
20230526,7.75113
20230525,7.7831
20230524,7.82854
20230523,7.87056
20230522,7.80687
20230519,7.83434
20230516,7.73695
20230515,7.78169
20230512,7.76538
20230511,7.67695
20230510,7.68687
20230509,7.66947
20230508,7.75231
20230505,7.68297
20230504,7.54313
20230503,7.60902
20230502,7.64885
20230428,7.76959
20230427,7.67325
20230426,7.632
20230425,7.63473
20230424,7.71786
20230421,7.64137
20230420,7.65682
20230419,7.69194
20230418,7.74113
20230417,7.74013
20230414,7.70007
20230413,7.67229
20230412,7.66263
20230411,7.62143
20230405,7.55151
20230404,7.59275
20230403,7.64836
20230331,7.53802
20230330,7.49072
20230329,7.40488
20230328,7.35916
20230327,7.32914
20230324,7.21709
20230323,7.42704
20230322,7.43503
20230321,7.41701
20230320,7.36013
20230317,7.29895
20230316,7.31336
20230315,7.33044
20230314,7.63389
20230313,7.53267
20230310,7.73435
20230309,7.80164
20230308,7.86756
20230307,7.89059
20230306,7.94634
20230303,7.96071
20230302,7.9332
20230301,7.88446
20230228,7.86944
20230227,7.85642
20230224,7.80279
20230223,7.83947
20230222,7.74571
20230221,7.78546
