Date,Value
20240415,9.46721
20240412,9.57174
20240411,9.58643
20240410,9.60973
20240409,9.78944
20240408,9.75774
20240405,9.64081
20240404,9.80572
20240403,9.64406
20240402,9.77834
20240401,9.96865
20240328,9.91115
20240327,9.75196
20240326,9.7793
20240325,9.7302
20240322,9.84778
20240321,9.79018
20240320,9.51115
20240319,9.43465
20240318,9.58535
20240315,9.47498
20240314,9.66995
20240313,9.67248
20240312,9.69814
20240311,9.75292
20240308,9.8749
20240307,9.76974
20240306,9.73479
20240305,9.70178
20240304,9.8186
20240301,9.67182
20240229,9.6727
20240228,9.58006
20240227,9.58699
20240226,9.41994
20240223,9.42247
20240222,9.3947
20240221,9.3381
20240220,9.41941
20240216,9.60249
20240215,9.50733
20240214,9.35071
20240213,9.3185
20240212,9.43765
20240209,9.28507
20240208,9.13349
20240207,9.14584
20240206,9.05442
20240205,9.13372
20240202,9.11992
20240201,9.15184
20240131,9.30009
20240130,9.37047
20240129,9.26643
20240126,9.31573
20240125,9.3278
20240124,9.3979
20240123,9.39041
20240122,9.21353
20240119,9.07828
20240118,9.04001
20240117,8.93228
20240116,9.08996
20240112,9.30242
20240111,9.22372
20240110,9.22557
20240109,9.21281
20240108,9.12946
20240105,9.09502
20240104,9.20183
20240103,9.33682
20240102,9.42856
20231229,9.63253
20231228,9.66073
20231227,9.67642
20231226,9.57092
20231222,9.51057
20231221,9.41496
20231220,9.47632
20231219,9.37042
20231218,9.3389
20231215,9.39296
20231214,9.20443
20231213,8.81673
20231212,8.81274
20231211,8.78743
20231208,8.71839
20231207,8.6525
20231206,8.70653
20231205,8.75547
20231204,8.67355
20231201,8.42669
20231130,8.4298
20231129,8.41782
20231128,8.38827
20231127,8.40289
20231124,8.38315
20231122,8.36314
20231121,8.3865
20231120,8.37445
20231117,8.31905
20231116,8.38409
20231115,8.38123
20231114,8.10988
20231113,7.90168
20231110,7.88187
20231109,8.00382
20231108,8.069
20231107,8.08074
20231106,8.19574
20231103,8.08018
20231102,7.85898
20231101,7.74367
20231031,7.67621
20231030,7.65803
20231027,7.73273
20231026,7.72129
20231025,7.76114
20231024,7.81978
20231023,7.78404
20231020,7.93336
20231019,8.0352
20231018,8.17019
20231017,8.09832
20231016,8.08261
20231013,8.09289
20231012,8.27002
20231011,8.27672
20231010,8.20095
20231009,8.09429
20231006,8.03404
20231005,8.0305
20231004,8.03355
20231003,8.14457
20231002,8.30041
20230929,8.42361
20230928,8.28722
20230927,8.26353
20230926,8.28811
20230925,8.26855
20230922,8.34827
20230921,8.37578
20230920,8.5674
20230919,8.57579
20230918,8.64675
20230915,8.70281
20230914,8.68227
20230913,8.67331
20230912,8.66482
20230911,8.71006
20230908,8.66832
20230907,8.74984
20230906,8.78363
20230905,8.9406
20230901,8.89379
20230831,8.86708
20230830,8.82527
20230829,8.7009
20230828,8.66615
20230825,8.6168
20230824,8.69048
20230823,8.62262
20230822,8.66927
20230821,8.67863
20230818,8.59808
20230817,8.74409
20230816,8.84547
20230815,8.92824
20230814,8.9487
20230811,8.93152
20230810,8.9959
20230809,9.06403
20230808,9.06592
20230807,9.12205
20230804,9.14361
20230803,9.13732
20230802,9.23455
20230801,9.3167
20230731,9.26962
20230728,9.18625
20230727,9.30617
20230726,9.18438
20230725,9.17071
20230724,9.14944
20230721,9.23292
20230720,9.27765
20230719,9.25552
20230718,9.12613
20230717,9.01098
20230714,9.09727
20230713,9.03236
20230712,9.01315
20230711,8.87013
20230710,8.68833
20230707,8.60812
20230706,8.71129
20230705,8.81824
20230703,8.78638
20230630,8.7876
20230629,8.66174
20230628,8.5941
20230627,8.5011
20230626,8.48908
