Date,Value
20231109,32.45973
20231108,32.37525
20231107,32.27346
20231106,32.29141
20231103,32.10121
20231102,31.64419
20231101,31.11645
20231031,30.92557
20231030,30.65814
20231027,30.78916
20231026,30.92922
20231025,31.31585
20231024,31.30944
20231023,31.15292
20231020,31.59077
20231019,31.90997
20231018,32.20797
20231017,32.08623
20231016,32.03299
20231013,32.13439
20231012,32.25268
20231011,32.17934
20231010,32.01366
20231009,31.6077
20231006,31.23938
20231005,31.38875
20231004,31.16965
20231003,31.4025
20231002,31.47943
20230929,31.76819
20230928,31.30699
20230927,31.43385
20230926,31.6878
20230925,31.6393
20230922,31.83559
20230921,32.10714
20230920,32.7159
20230919,32.69442
20230918,32.65947
20230915,33.01449
20230914,32.90642
20230913,32.75517
20230912,32.80003
20230911,32.88971
20230908,32.7048
20230907,32.54892
20230906,32.92527
20230905,33.10316
20230901,33.28744
20230831,33.15417
20230830,32.99851
20230829,32.47012
20230828,32.45364
20230825,32.21738
20230824,32.73316
20230823,32.33426
20230822,32.44052
20230821,32.15059
20230818,31.85861
20230817,32.41512
20230816,32.57615
20230815,32.87423
20230814,32.75498
20230811,32.73325
20230810,32.96828
20230809,33.10746
20230808,33.1147
20230807,33.03398
20230804,33.23198
20230803,33.05377
20230802,33.50416
20230801,33.74344
20230731,33.75365
20230728,33.64704
20230727,33.8526
20230726,33.597
20230725,33.53552
20230724,33.48226
20230721,33.49849
20230720,33.56325
20230719,33.59942
20230718,33.25609
20230717,33.12771
20230714,33.20336
20230713,33.06663
20230712,32.92439
20230711,32.57282
20230710,32.44806
20230707,32.4916
20230706,32.6577
20230705,32.76824
20230703,32.86342
20230630,32.68909
20230629,32.37036
20230628,32.34748
20230627,32.0923
20230626,32.1798
20230623,32.21668
20230622,32.25801
20230621,32.47269
20230620,32.55952
20230616,32.85877
20230615,32.33155
20230614,32.30636
20230613,32.17293
20230612,31.87743
20230609,31.88383
20230608,31.58421
20230607,31.74008
20230606,31.66703
20230605,31.72171
20230602,31.44216
20230601,30.98136
20230531,31.06947
20230530,31.36742
20230526,30.87461
20230525,30.84051
20230524,30.6411
20230523,30.99703
20230522,31.13178
20230519,31.26221
20230518,30.8859
20230517,30.65766
20230516,30.72613
20230515,30.74698
20230512,30.8662
20230511,30.84979
20230510,30.9663
20230509,30.85116
20230508,30.91578
20230505,30.49509
20230504,30.50902
20230503,30.8362
20230502,31.11845
20230501,31.16938
20230428,30.86085
20230427,30.48492
20230426,30.54811
20230425,30.86747
20230424,30.87909
20230421,30.84904
20230420,30.86721
20230419,30.96397
20230418,31.11964
20230417,30.94781
20230414,30.93917
20230413,30.67006
20230412,30.80174
20230411,30.74674
20230410,30.52883
20230406,30.46836
20230405,30.59833
20230404,30.87944
20230403,30.65587
20230331,30.28195
20230330,30.24141
20230329,29.85902
20230328,29.63999
20230327,29.73509
20230324,29.37955
20230323,29.55801
20230322,29.84815
20230321,29.6237
20230320,29.2174
20230317,29.49554
20230316,28.87256
20230315,28.82758
20230314,28.92719
20230313,28.46134
20230310,29.00865
20230309,29.61583
20230308,29.50405
20230307,29.92329
20230306,29.94421
20230303,29.55193
20230302,29.14245
20230301,29.35424
20230228,29.42739
20230227,29.5101
20230224,29.39817
20230223,29.76352
20230222,29.6097
20230221,30.01349
20230217,30.22911
20230216,30.53654
20230215,30.54131
20230214,30.56416
20230213,30.31106
20230210,30.076
20230209,30.66348
20230208,30.76243
20230207,30.4364
20230206,30.51135
20230203,30.60754
20230202,30.73947
20230201,30.05439
20230131,29.66118
20230130,29.84087
20230127,29.84367
20230126,29.74367
20230125,29.32089
20230124,29.4906
20230123,29.28725
